Age_at_exposure,Day/Night,Animal #,Treatment,6_do,7_do,8_do,9_do,10_do,11_do,12_do,13_do,14_do,15_do,16_do,17_do,18_do,19_do,20_do,21_do,total_offspring,age_at_death,measure_at_death,age_at_first_clutch,infected,spore_counts
8,Night,35,Control,NA,NA,NA,NA,NA,NA,2,NA,8,NA,NA,3,NA,NA,NA,NA,13,NA,NA,12,NA,NA
8,Night,36,Control,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,5,1,NA,4,NA,16,NA,NA,12,NA,NA
8,Night,37,Control,NA,NA,NA,NA,NA,NA,1,NA,8,NA,NA,NA,NA,NA,4,NA,13,NA,NA,12,NA,NA
9,Day,1,Exposed,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,2,NA,NA,NA,2,11,NA,NA,10,1,34
9,Day,2,Exposed,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,1,6,NA,NA,12,0,0
9,Day,3,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,NA,NA,7,NA,NA,16,0,0
9,Day,4,Exposed,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA,15,NA,NA,10,0,0
9,Day,5,Exposed,NA,NA,NA,NA,3,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,10,16,NA,10,0,0
9,Day,6,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
9,Day,7,Exposed,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,6,NA,NA,10,0,0
9,Day,8,Exposed,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,7,NA,NA,10,1,39
9,Day,9,Exposed,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,7,NA,NA,12,1,1
9,Day,10,Exposed,NA,NA,NA,NA,NA,NA,3,1,NA,3,NA,NA,NA,NA,2,NA,9,NA,NA,12,0,0
9,Day,11,Exposed,NA,NA,NA,NA,NA,NA,3,1,NA,3,NA,NA,1,NA,NA,NA,8,NA,NA,12,0,0
9,Day,12,Exposed,NA,NA,NA,NA,NA,3,NA,NA,NA,6,NA,4,NA,NA,NA,NA,13,21,,11,0,0
9,Day,13,Exposed,NA,NA,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,8,NA,NA,10,0,0
9,Day,14,Exposed,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,1,9,NA,NA,12,0,0
9,Day,15,Exposed,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,4,NA,NA,1,9,NA,NA,10,0,0
9,Day,16,Exposed,NA,NA,NA,NA,2,NA,NA,2,NA,NA,5,NA,NA,2,NA,NA,11,NA,NA,10,0,0
9,Day,17,Exposed,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,2,NA,NA,NA,8,NA,NA,12,0,0
9,Day,18,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
9,Day,19,Exposed,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,NA,12,0,0
9,Day,20,Exposed,NA,NA,NA,NA,3,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,7,21,,10,0,0
9,Day,21,Exposed,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6,NA,NA,10,NA,NA
9,Day,22,Exposed,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,3,NA,NA,NA,NA,7,NA,NA,11,0,0
9,Day,23,Exposed,NA,NA,NA,NA,3,NA,NA,3,NA,NA,4,NA,NA,2,NA,NA,12,NA,NA,10,1,35
9,Day,24,Exposed,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,4,NA,NA,NA,2,12,NA,NA,10,0,0
9,Day,25,Exposed,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,2,NA,NA,NA,NA,10,19,81,12,0,0
9,Day,26,Exposed,NA,NA,NA,NA,1,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,5,NA,NA,10,0,0
9,Day,27,Exposed,NA,NA,NA,NA,NA,NA,2,1,NA,7,NA,2,NA,NA,NA,NA,12,NA,NA,12,1,18
9,Day,28,Exposed,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,6,NA,NA,2,NA,NA,12,NA,NA,13,1,13
9,Day,29,Exposed,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,2,NA,NA,NA,NA,5,21,75,12,0,0
9,Day,30,Exposed,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,,9,NA,NA
9,Day,31,Control,NA,NA,NA,1,NA,EPH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,75,9,NA,NA
9,Day,32,Control,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,3,NA,NA,NA,8,NA,NA,13,NA,NA
9,Day,33,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,8,NA,NA,15,NA,NA
9,Day,34,Control,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,5,17,68,10,NA,NA
9,Day,35,Control,NA,NA,NA,NA,3,NA,NA,NA,NA,3,2,2,NA,2,NA,NA,12,NA,NA,10,NA,NA
9,Day,36,Control,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,NA,NA,NA,8,NA,NA,12,NA,NA
9,Day,37,Control,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,5,NA,NA,2,NA,16,20,NA,12,NA,NA
9,Night,1,Exposed,NA,NA,NA,1,4,NA,NA,3,NA,NA,5,1,NA,NA,NA,NA,14,20,NA,9,1,8
9,Night,2,Exposed,NA,NA,NA,2,NA,NA,NA,2,NA,4,NA,NA,1,NA,NA,NA,9,18,NA,9,1,2
9,Night,3,Exposed,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,NA,NA,NA,6,19,75,13,1,1
9,Night,4,Exposed,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,1,NA,9,NA,NA,12,0,0
9,Night,5,Exposed,NA,NA,NA,2,NA,NA,NA,3,NA,NA,5,NA,NA,NA,NA,NA,10,20,NA,9,0,0
9,Night,6,Exposed,NA,NA,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,1,10,NA,NA,12,0,0
9,Night,7,Exposed,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,2,NA,NA,NA,8,NA,NA,12,1,19
9,Night,8,Exposed,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,1,NA,NA,NA,8,NA,NA,12,0,0
9,Night,9,Exposed,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,3,NA,NA,NA,NA,7,NA,NA,12,1,22
9,Night,10,Exposed,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,13,0,0
9,Night,11,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,1,NA,NA,NA,8,20,NA,15,1,8
9,Night,12,Exposed,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,4,NA,NA,NA,NA,8,NA,NA,12,,
9,Night,13,Exposed,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,4,NA,NA,NA,NA,10,18,NA,12,0,0
9,Night,14,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,2,NA,NA,9,NA,NA,15,1,18
9,Night,15,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
9,Night,16,Exposed,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,1,NA,NA,NA,2,9,NA,NA,12,0,0
9,Night,17,Exposed,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,1,7,NA,NA,13,0,0
9,Night,18,Exposed,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15,82,12,0,0
9,Night,19,Exposed,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,20,NA,9,1,12
9,Night,20,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,7,NA,NA,15,0,0
9,Night,21,Exposed,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,NA,9,NA,NA,12,1,20
9,Night,22,Exposed,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,3,NA,NA,NA,NA,10,NA,NA,12,1,8
9,Night,23,Exposed,NA,NA,NA,NA,NA,NA,4,1,NA,5,NA,NA,2,NA,NA,1,13,NA,NA,12,1,23
9,Night,24,Exposed,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,7,NA,NA,12,0,0
9,Night,25,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,73,NA,NA,NA
9,Night,26,Exposed,NA,NA,NA,NA,NA,NA,2,NA,,2,NA,2,NA,NA,3,NA,9,NA,NA,12,1,45
9,Night,27,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Night,28,Exposed,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,3,NA,NA,NA,NA,9,18,NA,11,1,12
9,Night,29,Exposed,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,1,5,NA,NA,12,0,0
9,Night,30,Exposed,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,3,NA,NA,8,20,NA,12,1,20
9,Night,31,Control,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,3,NA,NA,9,NA,NA,13,NA,NA
9,Night,32,Control,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,4,9,NA,NA,14,NA,NA
9,Night,33,Control,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,12,NA,NA
9,Night,34,Control,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,2,NA,NA,NA,3,10,NA,NA,12,NA,NA
9,Night,35,Control,NA,NA,NA,NA,NA,NA,NA,3,NA,7,NA,NA,2,NA,1,NA,13,NA,NA,13,NA,NA
9,Night,36,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Night,37,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,67,NA,NA,NA
