Time_treatment,Age,Sex,Plate_Treatment,Animal,Exposed/Control,Technical_ Replicate,Flourometry_Reading,Control_Number,Control_Technical_Replicate,Control_Flour_Reading,Plate_Control
Night,9,F,9_NIGHT,4,Exposed,1,31163,,,,
Night,9,F,9_NIGHT,4,Exposed,2,25592,,,,
Night,9,F,9_NIGHT,5,Exposed,1,29692,,,,
Night,9,F,9_NIGHT,5,Exposed,2,33843,,,,
Night,9,F,9_NIGHT,6,Exposed,1,40208,,,,
Night,9,F,9_NIGHT,6,Exposed,2,37998,,,,
Night,9,F,9_NIGHT,7,Exposed,1,42664,,,,
Night,9,F,9_NIGHT,7,Exposed,2,37619,,,,
Night,9,F,9_NIGHT,8,Exposed,1,25919,,,,
Night,9,F,9_NIGHT,8,Exposed,2,29169,,,,
Night,9,F,9_NIGHT,9,Exposed,1,27570,,,,
Night,9,F,9_NIGHT,9,Exposed,2,35611,,,,
Night,9,F,9_NIGHT,10,Exposed,1,35577,,,,
Night,9,F,9_NIGHT,10,Exposed,2,32828,,,,
Night,9,F,9_NIGHT,11,Exposed,1,26188,,,,
Night,9,F,9_NIGHT,11,Exposed,2,28542,,,,
Night,9,F,9_NIGHT,12,Exposed,1,28648,,,,
Night,9,F,9_NIGHT,12,Exposed,2,43652,,,,
Night,9,F,9_NIGHT,13,Exposed,1,37420,,,,
Night,9,F,9_NIGHT,13,Exposed,2,38362,,,,
Night,9,F,9_NIGHT,14,Exposed,1,30944,,,,
Night,9,F,9_NIGHT,14,Exposed,2,33996,,,,
Night,9,F,9_NIGHT,15,Exposed,1,35044,,,,
Night,9,F,9_NIGHT,15,Exposed,2,34131,,,,
Night,9,F,9_NIGHT,16,Exposed,1,28814,,,,
Night,9,F,9_NIGHT,16,Exposed,2,22586,,,,
Night,9,F,9_NIGHT,17,Exposed,1,32825,,,,
Night,9,F,9_NIGHT,17,Exposed,2,26847,,,,
Night,9,F,9_NIGHT,18,Exposed,1,25420,,,,
Night,9,F,9_NIGHT,18,Exposed,2,43983,,,,
Night,9,F,9_NIGHT,19,Exposed,1,35012,,,,
Night,9,F,9_NIGHT,19,Exposed,2,30524,,,,
Night,9,F,9_NIGHT,20,Exposed,1,31587,,,,
Night,9,F,9_NIGHT,20,Exposed,2,38242,,,,
Night,9,F,9_NIGHT,21,Exposed,1,33355,,,,
Night,9,F,9_NIGHT,21,Exposed,2,30206,,,,
Night,9,F,9_NIGHT,22,Exposed,1,34111,,,,
Night,9,F,9_NIGHT,22,Exposed,2,36386,,,,
Night,9,F,9_NIGHT,23,Exposed,1,27685,,,,
Night,9,F,9_NIGHT,23,Exposed,2,28671,,,,
Night,9,F,9_NIGHT,24,Exposed,1,37441,,,,
Night,9,F,9_NIGHT,24,Exposed,2,41189,,,,
Night,9,F,9_NIGHT,25,Exposed,1,38659,,,,
Night,9,F,9_NIGHT,25,Exposed,2,38816,,,,
Night,9,F,9_NIGHT,26,Exposed,1,36604,,,,
Night,9,F,9_NIGHT,26,Exposed,2,40196,,,,
Night,9,F,9_NIGHT,27,Exposed,1,33988,,,,
Night,9,F,9_NIGHT,27,Exposed,2,34120,,,,
Night,9,F,9_NIGHT,28,Exposed,1,40033,,,,
Night,9,F,9_NIGHT,28,Exposed,2,29870,,,,
Night,9,F,9_NIGHT,29,Exposed,1,33927,,,,
Night,9,F,9_NIGHT,29,Exposed,2,33443,,,,
Night,9,F,9_NIGHT,30,Exposed,1,35571,,,,
Night,9,F,9_NIGHT,30,Exposed,2,50063,,,,
Night,9,F,9_NIGHT,31,Control,1,46344,,,,
Night,9,F,9_NIGHT,31,Control,2,33095,,,,
Night,9,F,9_NIGHT,32,Control,1,43104,,,,
Night,9,F,9_NIGHT,32,Control,2,35605,,,,
Night,9,F,9_NIGHT,33,Control,1,42112,,,,
Night,9,F,9_NIGHT,33,Control,2,40197,,,,
Night,9,F,9_NIGHT,34,Control,1,38558,,,,
Night,9,F,9_NIGHT,34,Control,2,34951,,,,
Night,9,F,9_NIGHT,35,Control,1,38749,,,,
Night,9,F,9_NIGHT,35,Control,2,36152,,,,
Night,9,F,9_NIGHT,36,Control,1,44090,,,,
Night,9,F,9_NIGHT,36,Control,2,41432,,,,
Night,9,F,9_NIGHT,37,Control,1,41877,,,,
Night,9,F,9_NIGHT,37,Control,2,43155,,,,
